,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
25/04/2010 12:13,0.0011903,3.773155751,1.606104338,-3.772436676,0.063402741,5.077396668
26/04/2010 13:01,0.0012071,3.697659789,1.606109574,-3.696825522,0.063402756,5.081759991
06:32.4,0.0012238,3.603563853,1.606097356,-3.602502693,0.06340278,5.087575428
59:36.0,0.0012325,3.566035784,1.606093866,-3.564917028,0.063402795,5.090191677
34:12.2,0.0012525,3.529149995,1.606097356,-3.527919538,0.063402809,5.092224985
38:46.9,0.0012649,3.444707475,1.606090375,-3.443344373,0.06340283,5.098036932
06:26.6,0.0012805,3.377664143,1.60608863,-3.376126508,0.063402854,5.102688234
54:52.7,0.0012932,3.310737747,1.606102592,-3.309063977,0.063402857,5.107055048
43:18.7,0.0013106,3.248975781,1.606111319,-3.247132713,0.063402858,5.111418371
08:39.7,0.0013379,3.160382868,1.606137499,-3.158295455,0.063402873,5.116954556
27:07.1,0.001339,3.153457402,1.606132263,-3.151376969,0.063402874,5.117534005
50:02.3,0.001299,3.123697793,1.606135753,-3.120671392,0.063405653,5.123928891
52:25.3,0.0012877,2.964244512,1.606132263,-2.934647219,0.063410998,5.130623974
21:48.4,0.0014503,2.780834843,1.606271889,-2.779173289,0.063410103,5.134393886
05:21.0,0.001312,2.828710969,1.606106083,-2.825585085,0.063410981,5.140526973
32:48.3,0.0013308,2.761629239,1.606113064,-2.758543497,0.063411018,5.145185256
57:54.8,0.0013474,2.68368109,1.606106083,-2.680375436,0.063411024,5.150712714
50:51.5,0.0013538,2.646334534,1.606104338,-2.642939869,0.063411029,5.153339435
55:10.9,0.001385,2.571543685,1.606097356,-2.5679134,0.063411035,5.159151381
52:49.8,0.0013895,2.562186975,1.606106083,-2.558563672,0.063411032,5.160032772
36:22.2,0.0014041,2.481903575,1.60611481,-2.47806036,0.063411029,5.166139679
24:36.7,0.0014127,2.425541657,1.606125282,-2.421576269,0.063411027,5.170506493
33:38.3,0.0014163,2.367017277,1.606127027,-2.362919244,0.063411035,5.174578346
14:49.6,0.0015199,2.114190627,1.606154952,-2.128612282,0.063403933,5.181573626
52:08.7,0.0013448,2.155900505,1.606160188,-2.159197432,0.063396349,5.190302017
15:29.8,0.0013395,2.199716996,1.606090375,-2.195493299,0.063397076,5.196648035
52:26.9,0.0013554,2.05279518,1.606127027,-2.049564575,0.063396702,5.19786802
52:41.2,0.0013574,1.989900495,1.606154952,-1.985306788,0.063396448,5.205439258
29:38.5,0.0013633,1.971900914,1.606154952,-1.967324661,0.06339644,5.206603393
57:27.8,0.0013654,1.920240914,1.606146225,-1.91555645,0.063396447,5.211261676
25:29.7,0.0013112,1.774277283,1.606142735,-1.735913201,0.063406024,5.223480727
04:00.5,0.0013056,1.665286707,1.60619684,-1.66042422,0.063406053,5.231338199
54:41.4,0.0013006,1.627327541,1.60617066,-1.622620388,0.063406062,5.234848056
47:42.3,0.0013002,1.594525823,1.606172405,-1.589795981,0.063406068,5.237473031
15:17.1,0.001297,1.540603876,1.606172405,-1.53590894,0.063406062,5.242134806
58:59.1,0.0013002,1.466546065,1.606168915,-1.46185113,0.06340606,5.248248694
35:52.8,0.0012987,1.451850393,1.606174151,-1.447172911,0.063406057,5.249416319
21:54.5,0.0012976,1.389425202,1.606160188,-1.384765172,0.063406058,5.254657543
10:15.8,0.0012982,1.348471051,1.606156697,-1.343833711,0.063406061,5.259029593
35:30.9,0.0013016,1.28209967,1.606151461,-1.27748851,0.06340606,5.264567522
07:45.2,0.0012974,1.248468921,1.606142735,-1.243903139,0.063406056,5.267482222
33:00.2,0.0012917,1.192077332,1.606147971,-1.187553439,0.063406057,5.273020152
30:40.5,0.0012879,1.180959585,1.606153207,-1.176486306,0.063406053,5.273899798
14:22.4,0.0012814,1.107233387,1.606153207,-1.102840393,0.063406044,5.280011941
39:37.5,0.0012738,1.04530736,1.606153207,-1.040989415,0.06340605,5.285544635
27:58.8,0.0012685,0.995549768,1.606167169,-0.991299891,0.063406049,5.289921921
