Datetime,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
08:12.2,0.0001456,5.40216579,0.020778145,-5.733607306,0.004375288,1.459020206
37:05.8,0.000155,5.423048655,0.020839231,-4.822503548,0.004375283,1.458658922
15:38.5,0.0001751,5.465046512,0.020868902,-5.464948774,0.004375275,1.457705973
10:21.9,0.0001674,5.430483757,0.020905554,-5.435489361,0.00437513,1.457278367
21:40.1,0.0001812,5.462027093,0.02098933,-5.644537918,0.00437525,1.456815855
07:56.6,0.0002013,5.442880831,0.021031217,-5.404804728,0.004375245,1.456241641
56:37.4,0.0002138,5.457335648,0.021069615,-5.45093378,0.004375238,1.455906538
56:37.2,0.0002427,5.496345502,0.021190042,-5.436362026,0.004375221,1.454897738
41:08.6,0.0002417,5.524928759,0.021237166,-4.727229515,0.004375212,1.454553908
05:34.1,0.0001985,5.560702773,0.021277309,-4.900811236,0.004375209,1.454286873
25:18.3,0.000185,5.573314522,0.021320942,-4.284240516,0.004375199,1.454004129
26:31.7,0.0001863,5.574215112,0.021359339,-4.787165867,0.004375191,1.453782472
07:56.5,0.0001969,5.566530427,0.021392501,-5.630709674,0.004375183,1.453531145
57:42.1,0.000188,5.571972364,0.021437879,-4.875512688,0.004375173,1.453119247
20:57.3,0.0001696,5.522558602,0.02147104,-5.493929966,0.004375167,1.452597394
56:48.5,0.0001875,5.503637487,0.021511183,-5.037672974,0.004375157,1.452028417
31:09.3,0.000183,5.498925098,0.021554816,-4.864888869,0.004375146,1.451614773
10:35.4,0.0001915,5.502251696,0.021589723,-5.465639924,0.004375138,1.451370427
04:29.8,0.0001912,5.499712242,0.021607176,-2.864422151,0.004375134,1.451263962
37:34.9,0.0001994,5.494036431,0.021647319,-2.69637836,0.004375124,1.450996927
07:46.0,0.0002132,5.492805974,0.021711896,-5.415761905,0.004375109,1.450579793
11:25.3,0.0001784,5.456599119,0.02176251,-4.295843465,0.004375092,1.450195821
48:17.3,0.0001725,5.389960703,0.021802653,-4.574607453,0.004375054,1.448930457
14:39.4,0.0001801,5.420196787,0.021835814,-5.259582862,0.004375044,1.448696583
24:48.5,0.0001822,5.419147844,0.021882938,-4.671584928,0.004375032,1.448410349
11:12.7,0.0001808,5.412711069,0.021937043,-2.60695118,0.004375019,1.448063028
01:44.0,0.0001878,5.432035355,0.022005111,-5.258019047,0.004375004,1.447532448
20:34.4,0.0001903,5.438866574,0.02205049,-4.902425665,0.004374995,1.447230506
00:59.8,0.0001907,5.441765565,0.022092378,-4.973549578,0.004374986,1.446965216
15:58.0,0.0002015,5.478747347,0.022141247,-4.665039943,0.004374977,1.446626622
00:15.8,0.0002014,5.477654771,0.022179644,-4.977761057,0.004374969,1.446359587
32:31.6,0.0002033,5.484449338,0.022266911,-4.283659322,0.00437495,1.445890094
10:03.9,0.0002033,5.485149215,0.022310544,-3.577736471,0.004374939,1.445616077
30:22.0,0.0002006,5.770948625,0.02237163,-2.703993232,0.00437495,1.44224061
27:48.7,0.000192,5.686958145,0.022441444,-4.434530818,0.004374937,1.442230138
48:01.4,0.0001897,5.67492061,0.022478095,-4.579290172,0.004374927,1.442020699
37:44.7,0.0001541,5.364695316,0.022497294,-5.349320711,0.00437476,1.444205851
09:30.6,0.00019,5.664616186,0.022551399,-5.227748057,0.00437491,1.441367945
12:04.3,0.0001911,5.665556918,0.022596778,-4.412681041,0.0043749,1.441139307
